Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2410000,1.4012166,-0.0044513945,999.0,0.0,0.0,1.0
2420000,1.4014438,-0.06276082,999.0,-0.9375,-0.9375,1.0
2430000,1.4017127,-0.030739745,999.0,-1.0,-1.0,1.0
2440000,1.401756,-0.01157892,999.0,0.0,0.0,1.0
2450000,1.4018248,-0.02883307,999.0,-0.7777777777777778,-0.7777777777777778,1.0
2460000,1.4017693,-0.023768026,999.0,0.0,0.0,1.0
2470000,1.4016207,-0.07610263,999.0,-0.9375,-0.9375,1.0
2480000,1.4016917,-0.010073532,999.0,0.0,0.0,1.0
2490000,1.4020978,-0.02380129,999.0,-0.2222222222222222,-0.2222222222222222,1.0
2500000,1.4020967,-0.026638022,999.0,-0.25,-0.25,1.0
2510000,1.4020673,-0.017141735,999.0,-0.3125,-0.3125,1.0
2520000,1.4020673,-0.0038584808,999.0,0.0,0.0,1.0
2530000,1.4023622,-0.026742205,999.0,0.0,0.0,1.0
2540000,1.402373,-0.07801896,999.0,-2.75,-2.75,1.0
2550000,1.4028873,-0.01589267,999.0,0.0,0.0,1.0
2560000,1.4029692,-0.06348457,999.0,-0.16666666666666666,-0.16666666666666666,1.0
2570000,1.4037583,-0.07691848,999.0,-2.5555555555555554,-2.5555555555555554,1.0
2580000,1.4040045,-0.031118065,999.0,-0.125,-0.125,1.0
2590000,1.4046249,-0.019655557,999.0,0.0,0.0,1.0
2600000,1.4049512,-0.056566473,999.0,-0.36666666666666664,-0.36666666666666664,1.0
2610000,1.4049393,-0.029513726,999.0,-0.2777777777777778,-0.2777777777777778,1.0
2620000,1.4049193,-0.031305656,999.0,-0.0625,-0.0625,1.0
2630000,1.4046309,-0.029925002,999.0,-0.6875,-0.6875,1.0
2640000,1.404308,-0.017009955,999.0,0.0,0.0,1.0
2650000,1.4045246,-0.03307345,999.0,-0.2777777777777778,-0.2777777777777778,1.0
2660000,1.4049413,-0.116901495,999.0,-2.8125,-2.8125,1.0
2670000,1.4050572,-0.08442283,999.0,-6.125,-6.125,1.0
2680000,1.4053746,-0.026159916,999.0,-0.23333333333333334,-0.23333333333333334,1.0
2690000,1.4053723,-0.036556255,999.0,-0.2777777777777778,-0.2777777777777778,1.0
2700000,1.405344,-0.19788137,999.0,-2.125,-2.125,1.0
